endpoint,date,incidents,downtime_min
riksarkivet_forskarsalen,2023-05-11,2,63.019999999999996
riksarkivet_forskarsalen,2023-05-12,1,1549.57
riksarkivet_forskarsalen,2023-05-13,1,1549.57
riksarkivet_forskarsalen,2023-06-08,1,8.38
riksarkivet_forskarsalen,2023-06-13,1,8.3
riksarkivet_forskarsalen,2023-06-15,3,55.39
riksarkivet_forskarsalen,2023-07-13,2,45.83
riksarkivet_forskarsalen,2023-07-19,1,6.78
riksarkivet_forskarsalen,2023-08-10,4,71.0
riksarkivet_forskarsalen,2023-09-14,2,24.799999999999997
riksarkivet_forskarsalen,2023-09-28,1,8.38
riksarkivet_forskarsalen,2023-10-12,1,16.52
riksarkivet_forskarsalen,2023-11-16,1,7.75
riksarkivet_forskarsalen,2023-12-14,1,16.68
riksarkivet_forskarsalen,2024-01-08,11,195.2
riksarkivet_forskarsalen,2024-01-09,10,229.58
riksarkivet_forskarsalen,2024-01-15,1,13.52
riksarkivet_forskarsalen,2024-02-18,2,28.270000000000003
riksarkivet_forskarsalen,2024-02-29,1,8.53
riksarkivet_forskarsalen,2024-03-04,2,24.869999999999997
riksarkivet_forskarsalen,2024-03-14,1,14.13
riksarkivet_forskarsalen,2024-04-11,2,15.1
riksarkivet_forskarsalen,2024-05-02,1,27.42
riksarkivet_forskarsalen,2024-05-16,1,19.18
riksarkivet_forskarsalen,2024-05-23,1,8.37
riksarkivet_forskarsalen,2024-07-11,1,8.28
riksarkivet_forskarsalen,2024-07-19,1,76.1
riksarkivet_forskarsalen,2024-08-15,1,14.2
riksarkivet_forskarsalen,2024-08-24,1,23.18
riksarkivet_forskarsalen,2024-11-11,1,5.5
riksarkivet_forskarsalen,2024-11-14,1,33.47
riksarkivet_forskarsalen,2024-12-05,1,131.23
riksarkivet_forskarsalen,2024-12-12,1,22.1
riksarkivet_forskarsalen,2024-12-29,1,5.32
riksarkivet_forskarsalen,2025-01-16,1,20.03
riksarkivet_forskarsalen,2025-01-17,1,5.58
riksarkivet_forskarsalen,2025-02-13,2,738.1999999999999
riksarkivet_forskarsalen,2025-02-14,2,739.02
riksarkivet_forskarsalen,2025-02-20,1,15.42
riksarkivet_forskarsalen,2025-02-27,1,25.12
riksarkivet_forskarsalen,2025-03-14,1,8.7
riksarkivet_forskarsalen,2025-03-27,1,12.82
riksarkivet_forskarsalen,2025-04-10,1,55.47
riksarkivet_forskarsalen,2025-04-23,1,40.23
riksarkivet_forskarsalen,2025-05-15,1,8.22
riksarkivet_forskarsalen,2025-06-12,1,30.5
riksarkivet_forskarsalen,2025-06-16,2,135.22
riksarkivet_forskarsalen,2025-06-17,3,2521.5
riksarkivet_forskarsalen,2025-06-18,1,2429.57
riksarkivet_forskarsalen,2025-06-19,2,2441.44
riksarkivet_forskarsalen,2025-06-26,1,18.32
riksarkivet_forskarsalen,2025-08-12,1,14.18
riksarkivet_forskarsalen,2025-08-15,1,190.43
riksarkivet_forskarsalen,2025-08-26,1,17.97
riksarkivet_forskarsalen,2025-08-27,1,15.2
riksarkivet_forskarsalen,2025-09-11,1,11.05
riksarkivet_forskarsalen,2025-09-26,1,8.0
riksarkivet_forskarsalen,2025-10-10,1,27.28
riksarkivet_forskarsalen,2025-10-16,2,31.549999999999997
riksarkivet_forskarsalen,2025-11-07,1,34.55
riksarkivet_forskarsalen,2025-11-13,1,28.83
riksarkivet_forskarsalen,2025-11-18,1,603.48
riksarkivet_forskarsalen,2025-11-19,1,603.48
riksarkivet_forskarsalen,2025-11-20,1,19.95
riksarkivet_forskarsalen,2025-11-25,1,22.83
riksarkivet_forskarsalen,2025-12-01,1,10.4
riksarkivet_forskarsalen,2025-12-02,1,10.4
riksarkivet_forskarsalen,2025-12-04,1,21.37
riksarkivet_forskarsalen,2025-12-05,2,4431.12
riksarkivet_forskarsalen,2025-12-06,1,4344.15
riksarkivet_forskarsalen,2025-12-07,1,4344.15
riksarkivet_forskarsalen,2025-12-08,1,4344.15
riksarkivet_forskarsalen,2025-12-09,1,26.0
riksarkivet_forskarsalen,2025-12-11,2,127.26
riksarkivet_forskarsalen,2025-12-14,1,9.53
riksarkivet_forskarsalen,2025-12-15,1,10.15
riksarkivet_forskarsalen,2025-12-16,1,30.12
riksarkivet_forskarsalen,2025-12-18,1,29.03
riksarkivet_forskarsalen,2025-12-20,1,7.37
