org,name,orgNumber
http://dataportal.se/organisation/SE2120001439,Ale kommun,212000-1439
http://dataportal.se/organisation/SE2120001553,Alingsås kommun,212000-1553
http://dataportal.se/organisation/SE2120002882,Botkyrka kommun,212000-2882
http://dataportal.se/organisation/SE2120000357,Eskilstuna kommun,212000-0357
http://dataportal.se/organisation/SE2120001173,Eslövs kommun,212000-1173
http://dataportal.se/organisation/SE2120002916,Essunga kommun,212000-2916
http://dataportal.se/organisation/SE2120001744,Falköpings kommun,212000-1744
http://dataportal.se/organisation/SE2120002221,Falu kommun,212000-2221
http://dataportal.se/organisation/SE2120000514,Gislaveds kommun,212000-0514
http://dataportal.se/organisation/SE2120001595,Grästorps kommun,212000-1595
http://dataportal.se/organisation/SE2120001637,Gullspångs kommun,212000-1637
http://dataportal.se/organisation/SE2120002338,Gävle kommun,212000-2338
http://dataportal.se/organisation/SE2120001652,Götene kommun,212000-1652
http://dataportal.se/organisation/SE2120000084,Haninge kommun,212000-0084
http://dataportal.se/organisation/SE2120002049,Heby kommun,212000-2049
http://dataportal.se/organisation/SE2120001728,Hjo kommun,212000-1728
http://dataportal.se/organisation/SE2120000068,Huddinge kommun,212000-0068
http://dataportal.se/organisation/SE2120001264,Härryda kommun,212000-1264
http://dataportal.se/organisation/SE2120000241,Håbo kommun,212000-0241
http://dataportal.se/organisation/SE2120001629,Karlsborgs kommun,212000-1629
http://dataportal.se/organisation/SE2120000845,Karlshamns kommun,212000-0845
http://dataportal.se/organisation/SE2120000829,Karlskrona kommun,212000-0829
http://dataportal.se/organisation/SE2120001850,Karlstads Kommun,212000-1850
http://dataportal.se/organisation/SE2120001256,Kungsbacka kommun,212000-1256
http://dataportal.se/organisation/SE2120001371,Kungälvs kommun,212000-1371
http://dataportal.se/organisation/SE2120001694,Lidköpings kommun,212000-1694
http://dataportal.se/organisation/SE2120001496,Lilla Edets kommun,212000-1496
http://dataportal.se/organisation/SE2120000449,Linköpings kommun,212000-0449
http://dataportal.se/organisation/SE2120001066,Lomma kommun,212000-1066
http://dataportal.se/organisation/SE2120001132,Lunds kommun,212000-1132
http://dataportal.se/organisation/SE2120001686,Mariestads kommun,212000-1686
http://dataportal.se/organisation/SE2120000811,Olofströms kommun,212000-0811
http://dataportal.se/organisation/SE2120000324,Oxelösunds kommun,212000-0324
http://dataportal.se/organisation/SE2220000315,Rådet för främjande av kommunala analyser - Kolada,222000-0315
http://dataportal.se/organisation/SE2120002346,Sandvikens kommun,212000-2346
http://dataportal.se/organisation/SE2120000969,Simrishamns kommun,212000-0969
http://dataportal.se/organisation/SE2120001702,Skara kommun,212000-1702
http://dataportal.se/organisation/SE2120001710,Skövde kommun,212000-1710
http://dataportal.se/organisation/SE2120001298,Stenungsunds kommun,212000-1298
http://dataportal.se/organisation/SE2120002411,Sundsvalls kommun,212000-2411
http://dataportal.se/organisation/SE2120001074,Svedala kommun,212000-1074
http://dataportal.se/organisation/SE2120000563,Sävsjö kommun,212000-0563
http://dataportal.se/organisation/SE2120000159,Södertälje kommun,212000-0159
http://dataportal.se/organisation/SE2120000852,Sölvesborgs kommun,212000-0852
http://dataportal.se/organisation/SE2120001660,Tibro kommun,212000-1660
http://dataportal.se/organisation/SE2120001736,Tidaholms kommun,212000-1736
http://dataportal.se/organisation/SE2120000266,Tierps kommun,212000-0266
http://dataportal.se/organisation/SE2120001306,Tjörns kommun,212000-1306
http://dataportal.se/organisation/SE2120000886,Tomelilla kommun,212000-0886
http://dataportal.se/organisation/SE2120001678,Töreboda kommun,212000-1678
http://dataportal.se/organisation/SE2120001579,Ulricehamns kommun,212000-1579
http://dataportal.se/organisation/SE2120002924,Vara kommun,212000-2924
http://dataportal.se/organisation/SE2120001249,Varbergs kommun,212000-1249
http://dataportal.se/organisation/SE2120000308,Vingåkers kommun,212000-0308
http://dataportal.se/organisation/SE2120000035,Värmdö kommun,212000-0035
http://dataportal.se/organisation/SE2120001181,Ystads kommun,212000-1181
http://dataportal.se/organisation/SE2120000258,Älvkarleby kommun,212000-0258
http://dataportal.se/organisation/SE2120002387,Ånge kommun,212000-2387
