item,itemLabel,orgnr
http://www.wikidata.org/entity/Q182007,Alvesta kommun,212000-0639
http://www.wikidata.org/entity/Q503167,Aneby kommun,212000-0498
http://www.wikidata.org/entity/Q431271,Arboga kommun,212000-2122
http://www.wikidata.org/entity/Q493855,Arjeplogs kommun,212000-2668
http://www.wikidata.org/entity/Q499404,Arvidsjaurs kommun,212000-2650
http://www.wikidata.org/entity/Q511365,Arvika kommun,212000-1892
http://www.wikidata.org/entity/Q509501,Askersunds kommun,212000-1983
http://www.wikidata.org/entity/Q500071,Avesta kommun,212000-2262
http://www.wikidata.org/entity/Q267462,Bengtsfors kommun,212000-1470
http://www.wikidata.org/entity/Q845930,Bergs kommun,212000-2502
http://www.wikidata.org/entity/Q376003,Bjurholms kommun,212000-2833
http://www.wikidata.org/entity/Q511310,Bjuvs kommun,212000-1041
http://www.wikidata.org/entity/Q509476,Bodens kommun,212000-2767
http://www.wikidata.org/entity/Q503102,Bollebygds kommun,212000-2973
http://www.wikidata.org/entity/Q62469,Bollnäs kommun,212000-2361
http://www.wikidata.org/entity/Q509546,Borgholms kommun,212000-0795
http://www.wikidata.org/entity/Q503209,Borlänge kommun,212000-2239
http://www.wikidata.org/entity/Q894327,Borås kommun,212000-1561
http://www.wikidata.org/entity/Q509514,Boxholms kommun,212000-0407
http://www.wikidata.org/entity/Q514830,Bromölla kommun,212000-0894
http://www.wikidata.org/entity/Q504261,Bräcke kommun,212000-2460
http://www.wikidata.org/entity/Q186662,Burlövs kommun,212000-1025
http://www.wikidata.org/entity/Q499464,Båstads kommun,212000-0944
http://www.wikidata.org/entity/Q503132,Dals-Eds kommun,212000-1413
http://www.wikidata.org/entity/Q113679,Danderyds kommun,212000-0126
http://www.wikidata.org/entity/Q509469,Degerfors kommun,212000-1934
http://www.wikidata.org/entity/Q132334,Dorotea kommun,212000-2809
http://www.wikidata.org/entity/Q498447,Eda kommun,212000-1769
http://www.wikidata.org/entity/Q492614,Ekerö kommun,212000-0050
http://www.wikidata.org/entity/Q512035,Eksjö kommun,212000-0589
http://www.wikidata.org/entity/Q509452,Emmaboda kommun,212000-0738
http://www.wikidata.org/entity/Q509568,Enköpings kommun,212000-0282
http://www.wikidata.org/entity/Q47018,Fagersta kommun,212000-2106
http://www.wikidata.org/entity/Q508168,Falkenbergs kommun,212000-1231
http://www.wikidata.org/entity/Q503204,Filipstads kommun,212000-1876
http://www.wikidata.org/entity/Q503180,Finspångs kommun,212000-0423
http://www.wikidata.org/entity/Q27982,Flens kommun,212000-0332
http://www.wikidata.org/entity/Q499385,Forshaga kommun,212000-1819
http://www.wikidata.org/entity/Q499441,Färgelanda kommun,212000-1421
http://www.wikidata.org/entity/Q2642771,Gagnefs kommun,212000-2155
http://www.wikidata.org/entity/Q239332,Gnesta kommun,212000-2965
http://www.wikidata.org/entity/Q509609,Gnosjö kommun,212000-0506
http://www.wikidata.org/entity/Q503122,Grums kommun,212000-1827
http://www.wikidata.org/entity/Q493815,Gällivare kommun,212000-2726
http://www.wikidata.org/entity/Q52502,Göteborgs kommun,212000-1355
http://www.wikidata.org/entity/Q503198,Habo kommun,212000-1611
