month,vocab,count
2021-11,esco,5
2022-11,kontrollerad vokabulär,1
2021-03,persistenta identifierare,2
2021-10,persistenta identifierare,2
2021-11,persistenta identifierare,1
2022-06,persistenta identifierare,1
2022-07,persistenta identifierare,3
2022-08,persistenta identifierare,3
2022-10,persistenta identifierare,9
2021-03,rdf,1
2021-11,rdf,6
2022-05,rdf,2
2022-06,rdf,6
2022-07,rdf,6
2022-08,rdf,18
2022-10,rdf,1
2022-11,rdf,25
2023-11,rdf,3
2021-10,single source of truth,1
2021-11,single source of truth,1
2022-08,single source of truth,1
2021-03,sparql,5
2021-10,sparql,4
2021-11,sparql,13
2022-06,sparql,5
2022-07,sparql,1
2022-08,sparql,8
2022-10,sparql,2
2022-11,sparql,1
2023-11,sparql,9
2021-10,ssot,1
2021-11,ssot,1
2022-08,ssot,1
