username_norm,ssot,single source of truth,dcat,dcat-ap,dcterms,pid,identifierare,identifier,persistent identifier,uri,urn,skos,linked data,länkad data,kontrollerad vokabulär,kontrollerade vokabulär,metadata,metadatakvalitet,datakvalitet,eli,eionet,bathingwateridentifier,eu knowledge graph,eu pic,eurovoc,esco,ai,artificial intelligence,machine learning,ml
ainali,0,0,0,0,0,0,3,0,0,7,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,15,0,0,12
almeta,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andersos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
andreas sundberg,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0
balamut,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
björn hagström,0,0,8,8,0,0,0,7,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,12
broninnovation,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
davidlars,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
davidnorman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
digg_admin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
elenorweijmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
elias,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
erik-gbg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
filipdijak,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fredrikeriksson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,16
hjärpen,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jesper_p,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johanlinaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
johantjader,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jonas nordqvist,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
jonass,0,0,3,0,0,0,7,9,1,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,21
jonor,0,0,13,2,2,0,17,22,0,28,5,3,2,5,0,0,30,3,7,17,0,0,2,0,0,0,26,0,1,36
josefinlassi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,10,0,1,0
kristine_,0,0,6,2,1,0,6,14,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
larsc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
linnea.princis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
magnus sälgö,9,5,0,0,1,2,23,30,0,5,0,1,4,3,0,0,13,4,5,0,0,1,0,0,0,1,38,0,0,23
maria söderlind,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
maria_dalhage,0,0,7,5,0,0,0,6,0,18,2,2,0,1,0,0,22,0,0,29,1,0,0,0,0,1,71,0,1,48
matself,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matthias,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mattias,0,0,6,6,0,0,0,0,0,7,2,1,0,0,0,0,11,0,1,4,0,0,0,0,0,0,15,0,0,17
nan,4,4,8,5,0,5,63,83,4,36,11,4,18,15,1,1,33,1,6,30,13,6,8,0,4,1,117,1,1,136
nilsw-ra,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nina_berlin,0,0,5,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,19,0,0,0
peter-stranne,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stefan wallin,0,0,0,0,0,0,5,8,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
thomas,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tomasmonsen,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,3,3,0,0,0,0,0,0,0,0,0,0,0
tove,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
