,property,count
0,http://www.w3.org/ns/dcat#keyword,127198
1,http://www.w3.org/ns/dcat#distribution,34931
2,http://purl.org/dc/terms/description,31730
3,http://purl.org/dc/terms/title,31295
4,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,31180
5,http://www.w3.org/ns/dcat#theme,30232
6,http://purl.org/dc/terms/language,24921
7,http://purl.org/dc/terms/publisher,22688
8,http://purl.org/dc/terms/modified,20052
9,http://www.w3.org/ns/dcat#contactPoint,19022
10,http://purl.org/dc/terms/accessRights,18743
11,http://www.w3.org/ns/dcat#landingPage,16575
12,http://purl.org/dc/terms/accrualPeriodicity,15357
13,http://purl.org/dc/terms/identifier,15075
14,http://www.w3.org/ns/prov#qualifiedAttribution,12176
15,http://purl.org/dc/terms/issued,8541
16,http://purl.org/dc/terms/spatial,8205
17,http://entryscape.com/terms/servedByDataService,7500
18,http://purl.org/dc/terms/creator,7409
19,http://purl.org/dc/terms/provenance,7115
20,http://purl.org/dc/terms/temporal,4480
21,http://xmlns.com/foaf/0.1/page,1889
22,http://purl.org/dc/terms/conformsTo,1639
23,http://purl.org/dc/terms/subject,879
24,http://www.w3.org/ns/adms#versionNotes,556
25,http://purl.org/dc/terms/created,429
26,http://data.europa.eu/r5r/applicableLegislation,314
27,http://purl.org/dc/terms/type,312
28,http://data.europa.eu/r5r/hvdCategory,311
29,http://purl.org/dc/terms/theme,303
30,http://purl.org/dc/terms/alternative,283
31,http://www.w3.org/ns/prov#wasUsedBy,278
32,http://purl.org/dc/terms/source,232
33,https://dataportal.se/concepts/geose/spatialScope,228
34,https://dataportal.se/concepts/geose/areaCoveredQuotient,227
35,http://www.w3.org/ns/adms#status,225
36,https://dataportal.se/concepts/geose/useLimitation,223
37,http://entryscape.org/terms/metadataIdentifier,221
38,https://metadata.trafikverket.se/schema/confidentiality,221
39,http://purl.org/dc/terms/relation,179
40,http://schema.org/diagram,140
41,http://purl.org/dc/terms/rights,129
42,http://www.w3.org/ns/dcat#byteSize,129
43,http://www.w3.org/ns/dcat#dataQuality,129
44,http://data.europa.eu/schemas/hvd/highValueDataset,92
45,http://www.w3.org/ns/dcat#version,86
46,http://schema.org/image,81
47,http://entryscape.com/terms/basedOn,55
48,http://www.w3.org/ns/dcat#temporalResolution,54
49,http://purl.org/dc/terms/isPartOf,49
50,http://www.w3.org/ns/adms#identifier,43
51,http://www.w3.org/2002/07/owl#versionInfo,36
52,https://schema.org/publishingPrinciples,23
53,http://www.w3.org/ns/dcat#inSeries,18
54,http://www.w3.org/ns/dcat#spatialResolutionInMeters,17
55,http://schema.org/offers,15
56,http://purl.org/dc/terms/references,5
57,http://www.w3.org/ns/dcat#hasVersion,5
58,http://www.w3.org/ns/dcat#isVersionOf,5
59,https://schema.org/url,5
60,https://www.w3.org/ns/dcat#contactPoint,4
61,https://www.w3.org/ns/dcat#theme,4
62,http://purl.org/dc/terms/isReferencedBy,3
63,http://purl.org/dc/terms/hasPart,2
64,http://www.w3.org/2000/01/rdf-schema#comment,1
65,http://www.w3.org/ns/dcat#dataset,1
66,http://www.w3.org/ns/dcat#themeTaxonomy,1
67,http://xmlns.com/foaf/0.1/name,1
