lang,page_title,url,wiki_link,domain
da,Registerdata,https://www.digg.se/ledning-och-samordning/ena---sveriges-digitala-infrastruktur/nationella-grunddata,https://da.wikipedia.org/wiki/Registerdata,www.digg.se
no,Myndigheten för digital förvaltning,https://www.digg.se/om-oss/sa-har-styrs-vi,https://no.wikipedia.org/wiki/Myndigheten_för_digital_förvaltning,www.digg.se
no,Diskusjon:Myndigheten för digital förvaltning,https://www.digg.se/om-oss/sa-har-styrs-vi,https://no.wikipedia.org/wiki/Diskusjon:Myndigheten_för_digital_förvaltning,www.digg.se
no,Myndigheten för digital förvaltning,https://www.digg.se/,https://no.wikipedia.org/wiki/Myndigheten_för_digital_förvaltning,www.digg.se
sv,Myndigheten för digital förvaltning,https://www.digg.se/,https://sv.wikipedia.org/wiki/Myndigheten_för_digital_förvaltning,www.digg.se
sv,Myndigheten för digital förvaltning,https://www.digg.se/om-oss/sa-har-styrs-vi,https://sv.wikipedia.org/wiki/Myndigheten_för_digital_förvaltning,www.digg.se
sv,Wikipedia:Bybrunnen/Arkiv 2018-10,https://www.digg.se/,https://sv.wikipedia.org/wiki/Wikipedia:Bybrunnen/Arkiv_2018-10,www.digg.se
sv,Wikipedia:Bybrunnen/Arkiv 2018-10,https://www.digg.se/om-oss,https://sv.wikipedia.org/wiki/Wikipedia:Bybrunnen/Arkiv_2018-10,www.digg.se
sv,Diskussion:Myndigheten för digital förvaltning,https://www.digg.se/om-oss/sa-har-styrs-vi,https://sv.wikipedia.org/wiki/Diskussion:Myndigheten_för_digital_förvaltning,www.digg.se
sv,Wikipedia:Bybrunnen/Arkiv 2019-06,https://www.digg.se/utveckling--innovation/oppna-data-och-datadriven-innovation,https://sv.wikipedia.org/wiki/Wikipedia:Bybrunnen/Arkiv_2019-06,www.digg.se
sv,Myndigheten för digital förvaltning,https://www.digg.se/nyheter--publikationer/nyheter/oppenhet-som-standard,https://sv.wikipedia.org/wiki/Myndigheten_för_digital_förvaltning,www.digg.se
sv,Wikipedia:Bybrunnen/Arkiv 2020-06,https://www.digg.se/nyheter--publikationer/nyheter/digg-lanserar-principer-for-okat-vidareutnyttjande-av-information,https://sv.wikipedia.org/wiki/Wikipedia:Bybrunnen/Arkiv_2020-06,www.digg.se
sv,Wikipedia:Bybrunnen/Arkiv 2020-06,https://www.digg.se/om-oss/var-verksamhet/remisser/remisser-fran-digg/principer-vid-tillgangliggorande-av-information-for-vidareutnyttjande,https://sv.wikipedia.org/wiki/Wikipedia:Bybrunnen/Arkiv_2020-06,www.digg.se
