item,orgnr,itemLabel,QID
http://www.wikidata.org/entity/Q498470,212000-1439,Ale kommun,Q498470
http://www.wikidata.org/entity/Q503162,212000-1553,Alingsås kommun,Q503162
http://www.wikidata.org/entity/Q182007,212000-0639,Alvesta kommun,Q182007
http://www.wikidata.org/entity/Q503167,212000-0498,Aneby kommun,Q503167
http://www.wikidata.org/entity/Q431271,212000-2122,Arboga kommun,Q431271
http://www.wikidata.org/entity/Q493855,212000-2668,Arjeplogs kommun,Q493855
http://www.wikidata.org/entity/Q499404,212000-2650,Arvidsjaurs kommun,Q499404
http://www.wikidata.org/entity/Q511365,212000-1892,Arvika kommun,Q511365
http://www.wikidata.org/entity/Q509501,212000-1983,Askersunds kommun,Q509501
http://www.wikidata.org/entity/Q500071,212000-2262,Avesta kommun,Q500071
http://www.wikidata.org/entity/Q267462,212000-1470,Bengtsfors kommun,Q267462
http://www.wikidata.org/entity/Q845930,212000-2502,Bergs kommun,Q845930
http://www.wikidata.org/entity/Q376003,212000-2833,Bjurholms kommun,Q376003
http://www.wikidata.org/entity/Q511310,212000-1041,Bjuvs kommun,Q511310
http://www.wikidata.org/entity/Q509476,212000-2767,Bodens kommun,Q509476
http://www.wikidata.org/entity/Q503102,212000-2973,Bollebygds kommun,Q503102
http://www.wikidata.org/entity/Q62469,212000-2361,Bollnäs kommun,Q62469
http://www.wikidata.org/entity/Q509546,212000-0795,Borgholms kommun,Q509546
http://www.wikidata.org/entity/Q503209,212000-2239,Borlänge kommun,Q503209
http://www.wikidata.org/entity/Q894327,212000-1561,Borås kommun,Q894327
http://www.wikidata.org/entity/Q113718,212000-2882,Botkyrka kommun,Q113718
http://www.wikidata.org/entity/Q509514,212000-0407,Boxholms kommun,Q509514
http://www.wikidata.org/entity/Q514830,212000-0894,Bromölla kommun,Q514830
http://www.wikidata.org/entity/Q504261,212000-2460,Bräcke kommun,Q504261
http://www.wikidata.org/entity/Q186662,212000-1025,Burlövs kommun,Q186662
http://www.wikidata.org/entity/Q499464,212000-0944,Båstads kommun,Q499464
http://www.wikidata.org/entity/Q503132,212000-1413,Dals-Eds kommun,Q503132
http://www.wikidata.org/entity/Q113679,212000-0126,Danderyds kommun,Q113679
http://www.wikidata.org/entity/Q509469,212000-1934,Degerfors kommun,Q509469
http://www.wikidata.org/entity/Q132334,212000-2809,Dorotea kommun,Q132334
http://www.wikidata.org/entity/Q498447,212000-1769,Eda kommun,Q498447
http://www.wikidata.org/entity/Q492614,212000-0050,Ekerö kommun,Q492614
http://www.wikidata.org/entity/Q512035,212000-0589,Eksjö kommun,Q512035
http://www.wikidata.org/entity/Q509452,212000-0738,Emmaboda kommun,Q509452
http://www.wikidata.org/entity/Q509568,212000-0282,Enköpings kommun,Q509568
http://www.wikidata.org/entity/Q503144,212000-0357,Eskilstuna kommun,Q503144
http://www.wikidata.org/entity/Q1130264,212000-1173,Eslövs kommun,Q1130264
http://www.wikidata.org/entity/Q503127,212000-2916,Essunga kommun,Q503127
http://www.wikidata.org/entity/Q47018,212000-2106,Fagersta kommun,Q47018
http://www.wikidata.org/entity/Q508168,212000-1231,Falkenbergs kommun,Q508168
http://www.wikidata.org/entity/Q503214,212000-1744,Falköpings kommun,Q503214
http://www.wikidata.org/entity/Q501545,212000-2221,Falu kommun,Q501545
http://www.wikidata.org/entity/Q503204,212000-1876,Filipstads kommun,Q503204
http://www.wikidata.org/entity/Q503180,212000-0423,Finspångs kommun,Q503180
http://www.wikidata.org/entity/Q27982,212000-0332,Flens kommun,Q27982
http://www.wikidata.org/entity/Q499385,212000-1819,Forshaga kommun,Q499385
http://www.wikidata.org/entity/Q499441,212000-1421,Färgelanda kommun,Q499441
http://www.wikidata.org/entity/Q2642771,212000-2155,Gagnefs kommun,Q2642771
http://www.wikidata.org/entity/Q505259,212000-0514,Gislaveds kommun,Q505259
http://www.wikidata.org/entity/Q239332,212000-2965,Gnesta kommun,Q239332
http://www.wikidata.org/entity/Q509609,212000-0506,Gnosjö kommun,Q509609
http://www.wikidata.org/entity/Q503122,212000-1827,Grums kommun,Q503122
http://www.wikidata.org/entity/Q503148,212000-1595,Grästorps kommun,Q503148
http://www.wikidata.org/entity/Q503193,212000-1637,Gullspångs kommun,Q503193
http://www.wikidata.org/entity/Q493815,212000-2726,Gällivare kommun,Q493815
http://www.wikidata.org/entity/Q510010,212000-2338,Gävle kommun,Q510010
http://www.wikidata.org/entity/Q52502,212000-1355,Göteborgs kommun,Q52502
http://www.wikidata.org/entity/Q511281,212000-1652,Götene kommun,Q511281
http://www.wikidata.org/entity/Q503198,212000-1611,Habo kommun,Q503198
http://www.wikidata.org/entity/Q511407,212000-1884,Hagfors kommun,Q511407
http://www.wikidata.org/entity/Q508180,212000-1926,Hallsbergs kommun,Q508180
http://www.wikidata.org/entity/Q47019,212000-2064,Hallstahammars kommun,Q47019
http://www.wikidata.org/entity/Q504692,212000-1215,Halmstads kommun,Q504692
http://www.wikidata.org/entity/Q499359,212000-1793,Hammarö kommun,Q499359
http://www.wikidata.org/entity/Q113692,212000-0084,Haninge kommun,Q113692
