item,orgnr,itemLabel
http://www.wikidata.org/entity/Q498470,212000-1439,Ale kommun
http://www.wikidata.org/entity/Q503162,212000-1553,Alingsås kommun
http://www.wikidata.org/entity/Q182007,212000-0639,Alvesta kommun
http://www.wikidata.org/entity/Q503167,212000-0498,Aneby kommun
http://www.wikidata.org/entity/Q431271,212000-2122,Arboga kommun
http://www.wikidata.org/entity/Q493855,212000-2668,Arjeplogs kommun
http://www.wikidata.org/entity/Q499404,212000-2650,Arvidsjaurs kommun
http://www.wikidata.org/entity/Q511365,212000-1892,Arvika kommun
http://www.wikidata.org/entity/Q509501,212000-1983,Askersunds kommun
http://www.wikidata.org/entity/Q500071,212000-2262,Avesta kommun
http://www.wikidata.org/entity/Q267462,212000-1470,Bengtsfors kommun
http://www.wikidata.org/entity/Q845930,212000-2502,Bergs kommun
http://www.wikidata.org/entity/Q376003,212000-2833,Bjurholms kommun
http://www.wikidata.org/entity/Q511310,212000-1041,Bjuvs kommun
http://www.wikidata.org/entity/Q509476,212000-2767,Bodens kommun
http://www.wikidata.org/entity/Q503102,212000-2973,Bollebygds kommun
http://www.wikidata.org/entity/Q62469,212000-2361,Bollnäs kommun
http://www.wikidata.org/entity/Q509546,212000-0795,Borgholms kommun
http://www.wikidata.org/entity/Q503209,212000-2239,Borlänge kommun
http://www.wikidata.org/entity/Q894327,212000-1561,Borås kommun
http://www.wikidata.org/entity/Q113718,212000-2882,Botkyrka kommun
http://www.wikidata.org/entity/Q509514,212000-0407,Boxholms kommun
http://www.wikidata.org/entity/Q514830,212000-0894,Bromölla kommun
http://www.wikidata.org/entity/Q504261,212000-2460,Bräcke kommun
http://www.wikidata.org/entity/Q186662,212000-1025,Burlövs kommun
http://www.wikidata.org/entity/Q499464,212000-0944,Båstads kommun
http://www.wikidata.org/entity/Q503132,212000-1413,Dals-Eds kommun
http://www.wikidata.org/entity/Q113679,212000-0126,Danderyds kommun
http://www.wikidata.org/entity/Q509469,212000-1934,Degerfors kommun
http://www.wikidata.org/entity/Q132334,212000-2809,Dorotea kommun
http://www.wikidata.org/entity/Q498447,212000-1769,Eda kommun
http://www.wikidata.org/entity/Q492614,212000-0050,Ekerö kommun
http://www.wikidata.org/entity/Q512035,212000-0589,Eksjö kommun
http://www.wikidata.org/entity/Q509452,212000-0738,Emmaboda kommun
http://www.wikidata.org/entity/Q509568,212000-0282,Enköpings kommun
http://www.wikidata.org/entity/Q503144,212000-0357,Eskilstuna kommun
http://www.wikidata.org/entity/Q1130264,212000-1173,Eslövs kommun
http://www.wikidata.org/entity/Q503127,212000-2916,Essunga kommun
http://www.wikidata.org/entity/Q47018,212000-2106,Fagersta kommun
http://www.wikidata.org/entity/Q508168,212000-1231,Falkenbergs kommun
http://www.wikidata.org/entity/Q503214,212000-1744,Falköpings kommun
http://www.wikidata.org/entity/Q501545,212000-2221,Falu kommun
http://www.wikidata.org/entity/Q503204,212000-1876,Filipstads kommun
http://www.wikidata.org/entity/Q503180,212000-0423,Finspångs kommun
http://www.wikidata.org/entity/Q27982,212000-0332,Flens kommun
http://www.wikidata.org/entity/Q499385,212000-1819,Forshaga kommun
http://www.wikidata.org/entity/Q499441,212000-1421,Färgelanda kommun
http://www.wikidata.org/entity/Q2642771,212000-2155,Gagnefs kommun
http://www.wikidata.org/entity/Q505259,212000-0514,Gislaveds kommun
http://www.wikidata.org/entity/Q239332,212000-2965,Gnesta kommun
http://www.wikidata.org/entity/Q509609,212000-0506,Gnosjö kommun
